x,R
1.000548,37.04145
1.004889,37.10878
1.006896,37.19622
1.034361,36.87647
1.037014,36.86392
1.050237,36.47597
1.05162,36.49649
1.053757,36.37122
1.05512,36.44372
1.06402,36.16629
1.064097,36.36741
1.074953,36.09745
1.079463,36.00178
1.154204,35.38261
1.267748,34.73954
1.27771,34.75892
1.306947,35.0615
1.309514,34.88267
1.332453,34.57127
1.338073,34.66972
1.342499,34.65155
1.414506,34.76688
1.549458,34.71761
1.5578,34.64223
1.599438,34.22488
1.751128,33.36044
1.790391,33.23014
1.941896,33.03953
1.970416,33.21979
1.988302,33.63331
